Author,No.,Title,Length,album-name
Billie Eilish, 1,!!!!!!,0:14,"When We All Fall Asleep, Where Do We Go?"
Billie Eilish, 2,Bad Guy,3:14,"When We All Fall Asleep, Where Do We Go?"
Billie Eilish, 3,Xanny,4:04,"When We All Fall Asleep, Where Do We Go?"
Billie Eilish, 4,You Should See Me in a Crown,3:01,"When We All Fall Asleep, Where Do We Go?"
Billie Eilish, 5,All the Good Girls Go to Hell,2:49,"When We All Fall Asleep, Where Do We Go?"
Billie Eilish, 6,Wish You Were Gay,3:42,"When We All Fall Asleep, Where Do We Go?"
Billie Eilish, 7,When the Party's Over,3:16,"When We All Fall Asleep, Where Do We Go?"
Billie Eilish, 8,8,2:53,"When We All Fall Asleep, Where Do We Go?"
Billie Eilish, 9,My Strange Addiction,3:00,"When We All Fall Asleep, Where Do We Go?"
Billie Eilish, 10,Bury a Friend,3:13,"When We All Fall Asleep, Where Do We Go?"
Billie Eilish, 11,Ilomilo,2:36,"When We All Fall Asleep, Where Do We Go?"
Billie Eilish, 12,Listen Before I Go,4:03,"When We All Fall Asleep, Where Do We Go?"
Billie Eilish, 13,I Love You,4:52,"When We All Fall Asleep, Where Do We Go?"
Billie Eilish, 14,Goodbye,1:59,"When We All Fall Asleep, Where Do We Go?"
Billie Eilish, 1,Getting Older,4:04,Happier Than Ever
Billie Eilish, 2,I Didn't Change My Number,2:38,Happier Than Ever
Billie Eilish, 3,Billie Bossa Nova,3:16,Happier Than Ever
Billie Eilish, 4,My Future,3:30,Happier Than Ever
Billie Eilish, 5,Oxytocin,3:30,Happier Than Ever
Billie Eilish, 6,Goldwing,2:31,Happier Than Ever
Billie Eilish, 7,Lost Cause,3:32,Happier Than Ever
Billie Eilish, 8,Halley's Comet,3:54,Happier Than Ever
Billie Eilish, 9,Not My Responsibility,3:47,Happier Than Ever
Billie Eilish, 10,Overheated,3:34,Happier Than Ever
Billie Eilish, 11,Everybody Dies,3:26,Happier Than Ever
